MWSC,Name,RAJ2000,DEJ2000,d,logt,e_logt,
1,Berkeley_58      ,0.067,60.933,2700,8.47,0.047,
2,NGC_7801         ,0.082,50.727,1953,9.255,       ,
3,FSR_0459         ,0.127,59.242,2926,7.8,       ,
4,Stock_18         ,0.397,64.625,774,8.68,       ,
5,Berkeley_59      ,0.559,67.425,1000,6.1,       ,
6,Cep_OB4          ,0.735,67.5,850,6.1,       ,
7,Blanco_1         ,0.885,-30,250,7.75,       ,
8,Berkeley_104     ,0.852,63.58,3599,8.805,0.031,
9,IRAS_00013+6817  ,0.996,68.565,1338,7.15,       ,
14,FSR_0504         ,1.455,81.84,3744,9.45,       ,
16,BDB_94           ,1.68,65.629,1700,7.4,       ,
17,Czernik_1        ,1.902,61.49,2609,7.76,       ,
18,SAI_1            ,2.112,51.724,1905,9.27,       ,
19,ASCC_1           ,2.413,62.704,1600,8.406,       ,
20,Berkeley_1       ,2.4,60.467,10300,8.6,       ,
21,King_13          ,2.514,61.184,3100,8.595,       ,
23,Alessi_20        ,2.667,58.748,470,7.575,0.188,
24,FSR_0474         ,2.685,59.735,4638,8.9,       ,
25,FSR_0480         ,3.736,61.471,5492,9.3,       ,
26,PTB_7            ,3.801,68.318,3233,6.55,       ,
27,BDSB_48          ,3.862,61.26,8000,7.95,       ,
28,Juchert-Saloran_1,4.081,59.962,5326,9.3,       ,
29,Berkeley_60      ,4.425,60.934,3299,8.4,       ,
31,ASCC_2           ,4.875,55.645,2301,8.87,0.08,
32,FSR_0486         ,5.103,59.332,1850,8.9,       ,
33,FSR_0479         ,5.311,54.827,2038,8.8,       ,
34,Mayer_1          ,5.514,61.741,1430,7.74,       ,
35,King_1           ,5.515,64.384,1659,9.7,       ,
36,FSR_0477         ,5.745,51.883,1908,9.04,       ,
37,SAI_4            ,5.907,62.71,1600,8.8,0.069,
38,NGC_104          ,6.004,-72.081,4501,10.1,       ,
39,Stock_20         ,6.313,62.602,1100,8.337,       ,
40,NGC_103          ,6.27,61.34,2501,8.565,0.057,
41,Berkeley_2       ,6.316,60.382,5499,8.98,0.033,
42,FSR_0494         ,6.42,63.75,5087,9.3,       ,
44,FSR_0496         ,6.675,64.03,1123,9.055,0.049,
45,NGC_110          ,6.855,71.422,1600,8.97,       ,
46,SAI_6            ,6.978,60.677,3100,8.7,0.061,
48,FSR_0481         ,7.234,43.279,2164,9.1,       ,
50,FSR_0498         ,7.275,62.409,1800,8.55,       ,
51,FSR_0503         ,7.357,68.894,4701,9.18,       ,
52,Stock_21         ,7.561,57.931,1700,8.825,       ,
53,NGC_129          ,7.542,60.203,1685,7.975,       ,
54,ASCC_3           ,7.77,55.275,1550,7.729,0.033,
55,NGC_133          ,7.819,63.345,1861,7.3,       ,
56,NGC_136          ,7.9,61.51,3519,8.4,       ,
57,King_14          ,8.014,63.181,2600,7.7,       ,
58,King_15          ,8.199,61.89,5500,8.4,       ,
59,NGC_146          ,8.226,63.305,2800,7.701,0.214,
62,NGC_189          ,9.87,61.115,1300,8.709,0.047,
63,Stock_24         ,9.94,61.965,2400,7.985,       ,
65,Dolidze_12       ,10.192,60.855,4000,9.135,0.022,
66,FSR_0508         ,10.473,64.956,5053,6.67,       ,
67,Dias_1           ,10.653,64.06,2186,7.9,       ,
68,NGC_225          ,10.8,61.782,850,8.191,0.058,
69,Czernik_2        ,10.924,60.152,4500,9.123,0.036,
70,King_16          ,10.965,64.18,2325,7.8,       ,
71,FSR_0507         ,11.01,52.36,2203,9,       ,
73,Berkeley_4       ,11.268,64.382,3300,7.3,       ,
74,NGC_188          ,11.85,85.255,2000,9.65,       ,
75,Berkeley_61      ,12.079,67.193,2153,8.985,0.015,
76,Dolidze_13       ,12.51,64.091,2400,8.962,0.04,
77,FSR_0515         ,12.682,54.765,2362,9.275,       ,
78,FSR_0516         ,12.637,65.965,810,8.83,0.052,
79,King_2           ,12.732,58.201,5499,9.67,       ,
80,FSR_0518         ,12.81,44.285,2154,9.415,0.001,
81,Cas_OB7          ,12.465,64.14,2600,7.7,       ,
83,FSR_0519         ,13.122,64.667,1517,7.35,       ,
84,NGC_288          ,13.192,-26.585,8912,10.1,       ,
85,IC_1590          ,13.2,56.63,2400,6.895,       ,
86,FSR_0521         ,13.245,59.835,2534,9.21,0.053,
87,ASCC_4           ,13.32,61.6,550,8.65,       ,
88,Alessi_1         ,13.327,49.48,750,8.84,       ,
89,FSR_0522         ,13.5,65.797,2094,8.55,       ,
92,FSR_0524         ,14.32,62.125,1841,9.19,       ,
93,ASCC_5           ,14.407,55.855,523,7.78,       ,
94,Skiff_J0058+68.4 ,14.542,68.465,2000,9.01,0.012,
97,Berkeley_62      ,15.277,63.935,2000,7.3,       ,
98,Czernik_3        ,15.787,62.787,1600,8.8,       ,
99,NGC_362          ,15.825,-70.847,8603,10.1,       ,
101,Cas_OB1          ,15.06,61.46,3000,7.033,0.062,
102,NGC_366          ,16.635,62.224,2200,7.9,       ,
104,Pfleiderer_1     ,17.01,65.662,4126,9.07,0.052,
105,NGC_381          ,17.107,61.579,1200,8.85,0.029,
106,BDSB_51          ,17.152,63.118,12002,8.15,       ,
107,FSR_0530         ,17.985,56.985,3501,9.3,       ,
108,Stock_3          ,18.037,62.258,1363,7.85,       ,
109,Platais_2        ,18.225,32.05,190,8.313,       ,
110,NGC_433          ,18.801,60.123,1650,7.81,       ,
111,NGC_436          ,18.996,58.811,3000,7.925,       ,
112,FSR_0534         ,19.359,61.3,1800,8.7,       ,
113,FSR_0537         ,19.768,60.347,2075,9,       ,
114,NGC_457          ,19.905,58.28,2400,7.38,       ,
115,FSR_0544         ,19.957,52.667,1799,8.906,0.02,
116,FSR_0536         ,19.933,63.067,3001,8.397,       ,
117,FSR_0538         ,20.512,63.703,2146,8.86,0.018,
119,FSR_0542         ,21.45,62.985,1934,8.35,       ,
120,SAI_14           ,21.517,62.613,5086,9.45,       ,
121,FSR_0560         ,21.997,44.155,1907,8.355,       ,
122,NGC_559          ,22.38,63.302,2200,8.8,       ,
123,FSR_0547         ,22.438,60.713,2800,8.9,       ,
124,NGC_581          ,23.316,60.652,2199,7.44,       ,
125,FSR_0531         ,23.355,74.742,3896,9.4,       ,
126,Czernik_4        ,23.902,61.463,1632,7.715,       ,
127,Trumpler_1       ,23.91,61.275,2399,7.1,       ,
128,NGC_609          ,24.094,64.535,4499,9.15,       ,
129,FSR_0546         ,24.3,65.85,2501,9,       ,
130,FSR_0549         ,24.912,65.921,6001,9.3,       ,
131,FSR_0551         ,24.925,64.875,3500,6.68,       ,
132,FSR_0553         ,25.234,64.515,7500,8.6,       ,
133,NGC_637          ,25.777,64.045,2304,6.74,       ,
134,FSR_0539         ,25.792,74.405,2121,9.305,0.053,
135,NGC_657          ,25.849,55.84,1934,9,       ,
137,NGC_654          ,25.995,61.9,1786,7.25,       ,
138,NGC_659          ,26.092,60.67,2300,7.762,0.193,
139,NGC_663          ,26.55,61.225,2100,7.5,       ,
140,Collinder_463    ,27.3,71.78,800,8.45,0.066,
141,ASCC_6           ,26.82,57.68,1350,7.8,       ,
142,Berkeley_5       ,26.925,62.933,6000,8.83,       ,
143,Collinder_21     ,27.54,27.115,1400,9.393,0.099,
145,Berkeley_6       ,27.825,61.06,2500,8.6,       ,
146,IC_166           ,28.095,61.865,4801,9,0.011,
147,Stock_4          ,28.282,57.01,900,8.6,       ,
148,ESO_245-09       ,28.429,-45.92,1380,9.055,0.071,
149,Berkeley_7       ,28.545,62.37,2600,7.25,       ,
150,Czernik_5        ,28.927,61.354,2400,8.615,       ,
151,NGC_752          ,29.272,37.79,450,9.13,       ,
152,IRAS_01546+6319  ,29.332,63.49,2400,6.59,       ,
153,NGC_744          ,29.644,55.478,1382,8.375,       ,
154,NGC_743          ,29.655,60.157,1100,8.29,0.09,
156,ASCC_7           ,29.775,58.925,2000,7.4,       ,
157,FSR_0558         ,30.13,67.803,2501,8.8,       ,
158,Berkeley_8       ,30.352,75.493,5001,9.3,       ,
159,Czernik_6        ,30.48,62.85,1391,7.98,       ,
160,FSR_0555         ,30.705,70.696,2200,7.8,       ,
162,Czernik_7        ,30.754,62.253,3001,9.116,0.017,
163,Stock_5          ,31.135,64.355,1100,7.7,       ,
164,FSR_0532         ,31.297,81.204,2589,9.15,       ,
165,SAI_16           ,31.413,62.265,4739,9.15,       ,
166,FSR_0561         ,31.474,67.745,1466,8.24,0.07,
167,Riddle_4         ,31.86,60.271,2200,7.35,       ,
168,IRAS_02044+6031  ,32.032,60.75,2735,6.25,       ,
171,IRAS_02054+6011  ,32.175,60.437,2726,6.8,       ,
172,FSR_0616         ,33.39,44.74,1530,9.23,       ,
173,Stock_2          ,33.66,59.44,400,8.44,       ,
174,IRAS_02130+5509  ,34.14,55.397,2500,8,       ,
175,NGC_869          ,34.74,57.145,2300,7.28,       ,
176,Basel_10         ,34.873,58.304,2000,7.6,       ,
177,Berkeley_63      ,34.899,63.73,3991,8.9,       ,
178,FSR_0578         ,35.016,61.102,2668,8.985,0.012,
179,SAI_17           ,35.212,59.2,4000,8.9,       ,
180,ASCC_8           ,35.19,59.69,1801,7.77,       ,
182,Berkeley_64      ,35.415,65.89,4801,9,       ,
184,NGC_884          ,35.512,57.145,2345,7.2,       ,
186,NGC_886          ,35.862,63.755,1000,8.75,       ,
192,IRAS_02232+6138  ,36.642,61.988,1835,6.85,       ,
193,FSR_0584         ,36.802,61.628,2009,9.1,       ,
196,FSR_0591         ,36.915,58.758,2297,6.85,       ,
199,Tombaugh_4       ,37.29,61.785,3700,8.64,       ,
200,Teutsch_55       ,37.35,62.07,2006,8.735,       ,
201,FSR_0568         ,37.23,72.19,2301,9,0.029,
202,Stock_7          ,37.432,60.675,850,7.8,       ,
203,FSR_0617         ,37.417,51.895,4000,9.25,       ,
204,FSR_0596         ,37.432,58.1,1417,9.15,       ,
206,FSR_0620         ,37.672,51.805,2200,8.84,0.113,
207,FSR_0569         ,37.785,72.48,2375,8.375,       ,
208,NGC_956          ,37.995,44.58,2613,9.1,       ,
209,IC_1805          ,38.182,61.455,1700,7.25,       ,
210,Czernik_8        ,38.254,58.768,1410,8.175,       ,
211,NGC_957          ,38.377,57.573,1900,7.25,       ,
212,Czernik_9        ,38.385,59.875,1900,8.75,       ,
213,Czernik_10       ,38.475,60.18,2500,8.502,0.051,
215,SAI_21           ,38.707,62.588,1900,8.95,       ,
216,King_4           ,39.022,59.025,2801,8.205,0.02,
218,Czernik_11       ,39.144,59.634,1500,8.555,0.056,
219,Trumpler_2       ,39.367,55.95,670,7.925,       ,
220,FSR_0611         ,39.382,56.405,1000,8.75,       ,
221,Berkeley_65      ,39.75,60.4,2501,7.2,       ,
222,Czernik_12       ,39.843,54.913,2000,9.1,       ,
223,NGC_1039         ,40.549,42.79,510,8.383,0.077,
224,FSR_0614         ,40.62,56.735,2787,6.75,       ,
225,NGC_1027         ,40.665,61.62,950,8.55,       ,
227,Czernik_13       ,41.113,62.318,4101,6.855,       ,
228,ASCC_9           ,41.745,57.745,2901,7,       ,
232,Teutsch_162      ,41.917,61.973,1600,7,       ,
235,IRAS_02459+6029  ,42.697,60.65,12998,7.9,       ,
236,IC_1848          ,42.777,60.41,1500,6.85,       ,
237,FSR_0576         ,42.922,69.245,5200,8.55,       ,
240,IRAS_02497+6217  ,43.627,62.525,2056,6.8,       ,
242,IRAS_02511+6023  ,43.815,60.6,2028,7.8,       ,
243,FSR_0581         ,44.026,68.825,930,8.4,       ,
246,IRAS_02541+6208  ,44.82,62.3,2273,6.65,       ,
248,Collinder_33     ,44.815,60.3,1100,8.347,       ,
249,SAI_24           ,44.865,60.55,1000,7.2,       ,
250,SAI_25           ,45.097,57.285,2300,9.185,0.029,
252,IRAS_02575+6017  ,45.327,60.503,3465,6.05,       ,
255,Berkeley_66      ,46.015,58.74,7002,9.15,       ,
256,NGC_1193         ,46.47,44.38,6000,9.3,       ,
258,FSR_0612         ,47.55,64.28,1900,9.092,0.037,
260,NGC_1252         ,47.7,-57.76,944,9.5,       ,
261,NGC_1220         ,47.922,53.347,2100,8.2,       ,
262,Trumpler_3       ,48.052,63.15,620,8.005,       ,
263,NGC_1261         ,48.067,-55.216,16298,10.1,       ,
264,NGC_1245         ,48.7,47.253,3000,9.025,0.011,
265,King_5           ,48.693,52.697,2200,9.09,0.02,
266,Stock_23         ,49.23,60.015,450,8.3,       ,
267,Czernik_14       ,49.267,58.605,2200,8.584,0.035,
270,FSR_0627         ,50.085,60.26,1933,8.25,       ,
271,Czernik_15       ,50.8,52.233,2500,7.3,       ,
272,FSR_0628         ,50.8,60.55,5001,9.25,       ,
274,Melotte_20       ,51.675,48.8,175,7.7,       ,
275,ASCC_10          ,51.765,35.03,700,8.717,0.03,
277,King_6           ,52.012,56.465,632,8.975,       ,
278,Alessi_13        ,52.02,-35.87,112,8.72,       ,
279,NGC_1333         ,52.23,31.37,324,6.8,       ,
282,Czernik_16       ,52.792,52.632,2700,7.3,       ,
283,NGC_1342         ,53.004,37.357,665,8.6,       ,
284,ASCC_11          ,53.07,44.84,837,8.345,       ,
285,FSR_0632         ,53.145,59.21,1037,8.35,       ,
286,Berkeley_9       ,53.163,52.65,1550,9.3,0.041,
288,FSR_0682         ,53.355,36.826,1800,8.55,       ,
289,NGC_1348         ,53.55,51.4,1800,8.45,       ,
290,Berkeley_10      ,54.9,66.49,2201,8.81,0.025,
291,SAI_30           ,55.185,82.22,2600,8.148,       ,
292,FSR_0634         ,55.095,59.43,2301,8.952,0.055,
293,FSR_0691         ,55.335,34.655,1600,9.04,0.029,
301,IC_348           ,56.152,32.15,480,6.78,       ,
304,Juchert_11       ,56.835,53.902,3000,8.9,       ,
305,Melotte_22       ,56.505,24.37,130,8.15,       ,
306,Tombaugh_5       ,57.015,59.07,1350,8.846,0.014,
307,Per_OB2          ,57.757,35.1,400,7.355,       ,
308,NGC_1444         ,57.349,52.64,1300,6.85,       ,
311,Czernik_17       ,58.105,61.96,2900,8.98,       ,
313,Juchert_9        ,58.837,58.4,3971,6.7,       ,
314,FSR_0654         ,58.9,54.017,4000,8.508,0.054,
315,FSR_0655         ,59.043,53.877,1742,8.72,       ,
317,FSR_0724         ,59.283,32.021,1685,9.095,0.036,
319,NGC_1520         ,59.467,-76.8,1023,9.43,       ,
320,FSR_0656         ,59.715,53.64,1400,8.895,0.021,
321,King_7           ,59.778,51.782,2628,8.85,0.014,
323,Alicante_1       ,59.785,57.24,4299,6.35,       ,
325,Cam_OB3          ,60.195,56.45,2801,7.105,0.055,
327,Juchert_19       ,60.577,52.45,3000,9.3,       ,
328,FSR_0660         ,60.615,51.917,3213,6.75,       ,
329,FSR_0689         ,60.765,41.303,1705,9.2,       ,
331,FSR_0653         ,60.955,55.419,7317,8.84,       ,
333,NGC_1496         ,61.11,52.645,1300,8.85,       ,
335,FSR_0695         ,61.455,39.2,1786,9.295,       ,
337,FSR_0663         ,61.545,51.91,1700,8.914,0.078,
338,FSR_0692         ,61.507,40.168,1520,9.32,       ,
339,FSR_0698         ,61.65,39.135,1963,8.25,       ,
341,FSR_0667         ,61.807,51.167,1818,8.08,       ,
343,NGC_1502         ,61.957,62.331,1023,7.08,       ,
345,FSR_0757         ,62.47,26.57,1900,9,       ,
346,NGC_1513         ,62.425,49.51,1400,8.5,       ,
347,FSR_0700         ,62.602,39.25,1379,9.15,       ,
348,Juchert_20       ,62.707,46.868,2812,8.225,0.176,
350,FSR_0674         ,63.094,48.728,3400,8.56,       ,
351,NGC_1557         ,63.285,-70.465,1820,9.5,       ,
352,LDN_1495W        ,63.637,28.49,1306,8.2,       ,
353,NGC_1528         ,63.847,51.19,950,8.55,       ,
355,SAI_36           ,64.207,41.075,3918,9.15,       ,
357,FSR_0765         ,64.492,26.211,2100,9.315,0.036,
358,FSR_0709         ,64.554,38.145,2200,8.69,0.04,
359,Waterloo_1       ,64.657,52.86,4400,8.6,0.078,
360,FSR_0697         ,64.672,41.526,1600,8.915,0.118,
362,IC_361           ,64.74,58.25,3000,8.982,0.022,
365,Mayer_2          ,64.938,53.175,2100,9.25,       ,
368,Berkeley_11      ,65.115,44.915,1964,8.7,       ,
369,NGC_1545         ,65.295,50.252,863,8.81,0.017,
371,NGC_1548         ,65.332,36.92,2501,9.02,0.035,
372,FSR_0762         ,65.425,27.235,2500,8.3,       ,
373,FSR_0671         ,65.617,51.855,3501,7.9,       ,
374,FSR_0741         ,65.872,33.555,4000,9.4,       ,
375,FSR_0756         ,66.054,29.715,2702,8.795,0.029,
378,FSR_0686         ,66.465,46.095,1073,7.5,       ,
380,FSR_0606         ,66.729,73.38,2499,8.476,0.074,
381,Czernik_18       ,66.957,30.945,1263,8.68,       ,
382,B_217            ,66.805,25.965,2800,9.1,       ,
383,FSR_0773         ,67.416,26.005,3000,8.6,       ,
384,FSR_0728         ,67.47,38.5,1816,8.255,0.1,
385,NGC_1579         ,67.546,35.279,730,6.58,       ,
388,NGC_1582         ,67.875,43.79,1000,8.665,0.069,
393,FSR_0804         ,68.647,21.675,2025,9.1,       ,
394,NGC_1605         ,68.73,45.275,2600,7.61,       ,
395,Platais_3        ,69.45,71.47,170,8.8,       ,
396,NGC_1641         ,68.857,-65.74,985,9.52,       ,
397,FSR_0740         ,68.907,36.098,2100,9,       ,
399,IRAS_04324+5106  ,69.09,51.18,6408,8.38,0.141,
400,FSR_0805         ,69.135,22.035,2050,8.8,       ,
404,Berkeley_67      ,69.45,50.775,2000,9.242,0.029,
407,FSR_0768         ,69.93,29.745,2289,8.85,       ,
408,NGC_1624         ,70.158,50.451,5466,6.65,       ,
410,FSR_0714         ,70.695,41.917,1819,9.06,       ,
411,FSR_0719         ,71.061,41.803,3500,8.945,       ,
412,Berkeley_68      ,71.115,42.1,1800,9.11,       ,
413,Berkeley_12      ,71.107,42.69,3300,9.6,       ,
414,FSR_0723         ,71.194,41.505,3103,8.965,0.023,
415,FSR_0733         ,71.295,39.76,1500,9.06,       ,
416,NGC_1647         ,71.497,19.17,572,8.3,0.057,
417,FSR_0717         ,71.535,42.13,1700,9.05,       ,
418,Palomar_2        ,71.524,31.382,27198,10.05,       ,
419,Alessi_2         ,71.565,55.255,520,8.698,0.033,
420,FSR_0721         ,71.559,41.976,3662,8.8,       ,
421,Ruprecht_148     ,71.637,44.739,2800,7.725,       ,
424,FSR_0767         ,71.91,31.55,3423,9.35,       ,
425,NGC_1662         ,72.112,10.925,437,8.695,0.036,
426,NGC_1663         ,72.315,13.17,1490,9.4,       ,
427,ASCC_12          ,72.481,41.719,600,8.63,0.017,
429,FSR_0742         ,72.646,38.134,1250,8.95,       ,
430,NGC_1664         ,72.808,43.66,1200,8.75,0.023,
431,FSR_0702         ,72.888,45.735,2501,8.9,       ,
432,FSR_0750         ,73.095,35.95,3000,9.455,0.018,
433,FSR_0735         ,73.504,40.84,2700,8.795,0.048,
434,FSR_0837         ,73.5,20.255,2550,9.065,0.019,
437,FSR_0643         ,73.777,65.555,3001,9.3,       ,
438,Teutsch_5        ,73.932,36.783,3001,9.38,       ,
439,Berkeley_13      ,73.942,52.815,2800,8.87,0.042,
441,Czernik_19       ,74.277,28.781,2499,7.835,       ,
442,Skiff_J0458+43.0 ,74.538,43.007,3000,8.7,       ,
446,FSR_0820         ,74.854,23.804,1600,9.25,0.054,
447,FSR_0744         ,74.865,37.965,1250,8.85,       ,
448,Berkeley_14      ,74.946,43.485,5460,9.3,       ,
449,Berkeley_14A     ,75.157,43.565,1100,6.97,       ,
451,FSR_0759         ,75.292,35.793,3801,9.2,       ,
452,FSR_0722         ,75.465,44.13,2501,8.8,       ,
453,Berkeley_15      ,75.528,44.512,1300,9.4,       ,
454,FSR_0753         ,75.54,36.766,3001,8.3,       ,
455,FSR_0732         ,75.667,42.54,2710,7,       ,
